Trade Area,Market Characteristic
Acme Fresh Market Total TA,Trade Area
Ahold USA Corp Total Rem,Remaining Market
Ahold USA Corp Total TA,Trade Area
ALBSCO Acme Rem,Remaining Market
ALBSCO Acme TA,Trade Area
ALBSCO Jewel Div Rem,Remaining Market
ALBSCO Jewel Div TA,Trade Area
ALBSCO Shaws Div Rem,Remaining Market
ALBSCO Shaws Div TA,Trade Area
ALBSCO Total Company Rem,Remaining Market
ALBSCO Total Company TA,Trade Area
Allegiance Retail Services TA,Trade Area
Alliance Retail Group Total Rem,Remaining Market
Alliance Retail Group Total TA,Trade Area
Bashas Total TA,Trade Area
Big Y Total TA,Trade Area
BJs Total Rem,Remaining Market
BJs Total TA,Trade Area
Brookshire Brothers Total TA,Trade Area
Brookshires Total TA,Trade Area
Buehlers Total TA,Trade Area
Cub Total TA,Trade Area
CVS Total Corp ex HI Comp Mkt,Remaining Market
CVS Total Corp ex HI TA,Trade Area
Delhaize America Total Corp Rem,Remaining Market
Delhaize America Total Corp TA,Trade Area
DeMoulas Total Rem,Remaining Market
DeMoulas Total TA,Trade Area
Dierbergs Total Rem,Remaining Market
Dierbergs Total TA,Trade Area
Dol Gen TA,Trade Area
Dol Gen xAOC Rem,Remaining Market
Duane Reade Total Rem,Remaining Market
Duane Reade Total TA,Trade Area
El Super Total TA,Trade Area
Fairplay Foods Total TA,Trade Area
Family Dollar Rem - Food,Remaining Market
Family Dollar TA,Trade Area
Fareway Total Rem,Remaining Market
Fareway Total TA,Trade Area
Festival Foods Total Rem,Remaining Market
Festival Foods Total TA,Trade Area
Fiesta Total Rem,Remaining Market
Fiesta Total TA,Trade Area
Food Lion Total Rem,Remaining Market
Food Lion Total TA,Trade Area
Food Maxx Total Rem,Remaining Market
Food Maxx Total TA,Trade Area
Giant Eagle Total Rem,Remaining Market
Giant Eagle Total TA,Trade Area
Hannaford Total Rem,Remaining Market
Hannaford Total TA,Trade Area
Harps Total TA,Trade Area
Hy-Vee Total Rem,Remaining Market
Hy-Vee Total TA,Trade Area
IGA Supermarket Total TA,Trade Area
King Kullen Total TA,Trade Area
Kinney Drugs Total Comp Mkt,Remaining Market
Kinney Drugs Total TA,Trade Area
KVAT Food City Rem,Remaining Market
KVAT Food City TA,Trade Area
Lowe's Home Improvement Total TA,Trade Area
Lowe's Home Improvement Total xAOC Rem,Remaining Market
Lucky Total TA,Trade Area
Lunds & Byerlys Total TA,Trade Area
Martins Total TA,Trade Area
Meijer Total TA,Trade Area
Meijer Total xAOC Rem,Remaining Market
Niemann Foods Total TA,Trade Area
Piggly Wiggly Midwest TA,Trade Area
Price Chopper Total Rem,Remaining Market
Price Chopper Total TA,Trade Area
Publix Total Rem,Remaining Market
Publix Total TA,Trade Area
Raley's Corp Rem,Remaining Market
Raley's Corp TA,Trade Area
Rite Aid - Corp Total Rem,Remaining Market
Rite Aid - Corp Total TA,Trade Area
Rouses Total TA,Trade Area
Sam's Total TA,Trade Area
Sam's Total xAOC Rem,Remaining Market
Save Mart Banner Total Rem,Remaining Market
Save Mart Banner Total TA,Trade Area
Schnucks Total Rem,Remaining Market
Schnucks Total TA,Trade Area
Shoppers Food Warehouse TA,Trade Area
ShopRite Total Rem,Remaining Market
ShopRite Total TA,Trade Area
Smart & Final Total TA,Trade Area
Smart & Final Total xAOC Rem,Remaining Market
SpartanNash Total Retail TA,Trade Area
Stater Bros Total Rem,Remaining Market
Stater Bros Total TA,Trade Area
Stop & Shop Total Rem,Remaining Market
Stop & Shop Total TA,Trade Area
Target Total BM/FF TA,Trade Area
Target Total BM/FF xAOC Rem,Remaining Market
The Giant Company Total Rem,Remaining Market
The Giant Company Total TA,Trade Area
Tops Total Rem,Remaining Market
Tops Total TA,Trade Area
Total DeCA CONUS ex AK & HI Rem,Remaining Market
Total DeCA CONUS inc AK & HI,Trade Area
Total Nielsen Market,Total Nielsen Market
Total US Drug,Total US Drug
Total US Food,Total US Food
Total US xAOC,Total US xAOC
UNFI CONVL Retail Total (CUB & SFW) Rem,Remaining Market
UNFI CONVL Retail Total (CUB & SFW) TA,Trade Area
Walgreens Total Rem,Remaining Market
Walgreens Total TA,Trade Area
Walmart Total US TA,Trade Area
Walmart Total US xAOC Rem,Remaining Market
Wegmans Total Rem,Remaining Market
Wegmans Total TA,Trade Area
Weis Total Rem,Remaining Market
Weis Total TA,Trade Area
"Kroger Corp (excl HT, Roundy's, Mariano's)-CRMA - Multi Outlet",Remaining Market
"Kroger Corp (excl HT, Roundy's, Mariano's)",Trade Area
SEG-RMA - Food,Trade Area
SEG-CRMA - Food,Remaining Market
H-E-B Total-RMA - Food,(blank)
H-E-B Total-CRMA - Multi Outlet,Remaining Market
H-E-B Total-CRMA - Food,Remaining Market
